TimeStamp	Ip Address	Core	CPU Usage
1550908860	195.168.0.68	0	76	
1550908920	195.168.0.68	0	18	
1550908980	195.168.0.68	0	82	
1550909040	195.168.0.68	0	12	
1550909100	195.168.0.68	0	85	
1550909160	195.168.0.68	0	91	
1550909220	195.168.0.68	0	4	
1550909280	195.168.0.68	0	47	
1550909340	195.168.0.68	0	89	
1550909400	195.168.0.68	0	79	
1550909460	195.168.0.68	0	96	
1550909520	195.168.0.68	0	94	
1550909580	195.168.0.68	0	87	
1550909640	195.168.0.68	0	9	
1550909700	195.168.0.68	0	37	
1550909760	195.168.0.68	0	6	
1550909820	195.168.0.68	0	62	
1550909880	195.168.0.68	0	67	
1550909940	195.168.0.68	0	71	
1550910000	195.168.0.68	0	13	
1550910060	195.168.0.68	0	33	
1550910120	195.168.0.68	0	5	
1550910180	195.168.0.68	0	15	
1550910240	195.168.0.68	0	46	
1550910300	195.168.0.68	0	89	
1550910360	195.168.0.68	0	22	
1550910420	195.168.0.68	0	42	
1550910480	195.168.0.68	0	13	
1550910540	195.168.0.68	0	77	
1550910600	195.168.0.68	0	33	
1550910660	195.168.0.68	0	36	
1550910720	195.168.0.68	0	36	
1550910780	195.168.0.68	0	90	
1550910840	195.168.0.68	0	98	
1550910900	195.168.0.68	0	21	
1550910960	195.168.0.68	0	51	
1550911020	195.168.0.68	0	69	
1550911080	195.168.0.68	0	8	
1550911140	195.168.0.68	0	97	
1550911200	195.168.0.68	0	81	
1550911260	195.168.0.68	0	71	
1550911320	195.168.0.68	0	99	
1550911380	195.168.0.68	0	7	
1550911440	195.168.0.68	0	13	
1550911500	195.168.0.68	0	65	
1550911560	195.168.0.68	0	85	
1550911620	195.168.0.68	0	94	
1550911680	195.168.0.68	0	9	
1550911740	195.168.0.68	0	11	
1550911800	195.168.0.68	0	83	
1550911860	195.168.0.68	0	12	
1550911920	195.168.0.68	0	19	
1550911980	195.168.0.68	0	62	
1550912040	195.168.0.68	0	34	
1550912100	195.168.0.68	0	4	
1550912160	195.168.0.68	0	66	
1550912220	195.168.0.68	0	62	
1550912280	195.168.0.68	0	27	
1550912340	195.168.0.68	0	41	
1550912400	195.168.0.68	0	19	
1550912460	195.168.0.68	0	55	
1550912520	195.168.0.68	0	22	
1550912580	195.168.0.68	0	17	
1550912640	195.168.0.68	0	63	
1550912700	195.168.0.68	0	8	
1550912760	195.168.0.68	0	27	
1550912820	195.168.0.68	0	26	
1550912880	195.168.0.68	0	51	
1550912940	195.168.0.68	0	69	
1550913000	195.168.0.68	0	73	
1550913060	195.168.0.68	0	16	
1550913120	195.168.0.68	0	18	
1550913180	195.168.0.68	0	3	
1550913240	195.168.0.68	0	57	
1550913300	195.168.0.68	0	96	
1550913360	195.168.0.68	0	96	
1550913420	195.168.0.68	0	14	
1550913480	195.168.0.68	0	66	
1550913540	195.168.0.68	0	100	
1550913600	195.168.0.68	0	92	
1550913660	195.168.0.68	0	85	
1550913720	195.168.0.68	0	1	
1550913780	195.168.0.68	0	28	
1550913840	195.168.0.68	0	60	
1550913900	195.168.0.68	0	43	
1550913960	195.168.0.68	0	73	
1550914020	195.168.0.68	0	18	
1550914080	195.168.0.68	0	6	
1550914140	195.168.0.68	0	45	
1550914200	195.168.0.68	0	60	
1550914260	195.168.0.68	0	20	
1550914320	195.168.0.68	0	67	
1550914380	195.168.0.68	0	41	
1550914440	195.168.0.68	0	70	
1550914500	195.168.0.68	0	61	
1550914560	195.168.0.68	0	85	
1550914620	195.168.0.68	0	81	
1550914680	195.168.0.68	0	78	
1550914740	195.168.0.68	0	74	
1550914800	195.168.0.68	0	40	
1550914860	195.168.0.68	0	62	
1550914920	195.168.0.68	0	68	
1550914980	195.168.0.68	0	7	
1550915040	195.168.0.68	0	80	
1550915100	195.168.0.68	0	88	
1550915160	195.168.0.68	0	41	
