TimeStamp	Ip Address	Core	CPU Usage
1550908860	192.168.0.0	1	74	
1550908920	192.168.0.0	1	29	
1550908980	192.168.0.0	1	79	
1550909040	192.168.0.0	1	94	
1550909100	192.168.0.0	1	54	
1550909160	192.168.0.0	1	80	
1550909220	192.168.0.0	1	72	
1550909280	192.168.0.0	1	44	
1550909340	192.168.0.0	1	38	
1550909400	192.168.0.0	1	76	
1550909460	192.168.0.0	1	89	
1550909520	192.168.0.0	1	42	
1550909580	192.168.0.0	1	71	
1550909640	192.168.0.0	1	95	
1550909700	192.168.0.0	1	28	
1550909760	192.168.0.0	1	24	
1550909820	192.168.0.0	1	88	
1550909880	192.168.0.0	1	48	
1550909940	192.168.0.0	1	69	
1550910000	192.168.0.0	1	84	
1550910060	192.168.0.0	1	37	
1550910120	192.168.0.0	1	75	
1550910180	192.168.0.0	1	96	
1550910240	192.168.0.0	1	18	
1550910300	192.168.0.0	1	85	
1550910360	192.168.0.0	1	77	
1550910420	192.168.0.0	1	21	
1550910480	192.168.0.0	1	59	
1550910540	192.168.0.0	1	23	
1550910600	192.168.0.0	1	99	
1550910660	192.168.0.0	1	50	
1550910720	192.168.0.0	1	95	
1550910780	192.168.0.0	1	100	
1550910840	192.168.0.0	1	90	
1550910900	192.168.0.0	1	27	
1550910960	192.168.0.0	1	91	
1550911020	192.168.0.0	1	76	
1550911080	192.168.0.0	1	97	
1550911140	192.168.0.0	1	60	
1550911200	192.168.0.0	1	55	
1550911260	192.168.0.0	1	37	
1550911320	192.168.0.0	1	92	
1550911380	192.168.0.0	1	45	
1550911440	192.168.0.0	1	32	
1550911500	192.168.0.0	1	83	
1550911560	192.168.0.0	1	30	
1550911620	192.168.0.0	1	85	
1550911680	192.168.0.0	1	23	
1550911740	192.168.0.0	1	14	
1550911800	192.168.0.0	1	46	
1550911860	192.168.0.0	1	8	
1550911920	192.168.0.0	1	25	
1550911980	192.168.0.0	1	72	
1550912040	192.168.0.0	1	32	
1550912100	192.168.0.0	1	82	
1550912160	192.168.0.0	1	16	
1550912220	192.168.0.0	1	90	
1550912280	192.168.0.0	1	11	
1550912340	192.168.0.0	1	29	
1550912400	192.168.0.0	1	20	
1550912460	192.168.0.0	1	20	
1550912520	192.168.0.0	1	18	
1550912580	192.168.0.0	1	54	
1550912640	192.168.0.0	1	36	
1550912700	192.168.0.0	1	48	
1550912760	192.168.0.0	1	37	
1550912820	192.168.0.0	1	14	
1550912880	192.168.0.0	1	85	
1550912940	192.168.0.0	1	10	
1550913000	192.168.0.0	1	56	
1550913060	192.168.0.0	1	47	
1550913120	192.168.0.0	1	50	
1550913180	192.168.0.0	1	57	
1550913240	192.168.0.0	1	53	
1550913300	192.168.0.0	1	35	
1550913360	192.168.0.0	1	98	
1550913420	192.168.0.0	1	65	
1550913480	192.168.0.0	1	46	
1550913540	192.168.0.0	1	51	
1550913600	192.168.0.0	1	46	
1550913660	192.168.0.0	1	75	
1550913720	192.168.0.0	1	75	
1550913780	192.168.0.0	1	6	
1550913840	192.168.0.0	1	23	
1550913900	192.168.0.0	1	44	
1550913960	192.168.0.0	1	58	
1550914020	192.168.0.0	1	86	
1550914080	192.168.0.0	1	86	
1550914140	192.168.0.0	1	73	
1550914200	192.168.0.0	1	25	
1550914260	192.168.0.0	1	70	
1550914320	192.168.0.0	1	1	
1550914380	192.168.0.0	1	69	
1550914440	192.168.0.0	1	22	
1550914500	192.168.0.0	1	63	
1550914560	192.168.0.0	1	91	
1550914620	192.168.0.0	1	90	
1550914680	192.168.0.0	1	38	
1550914740	192.168.0.0	1	1	
1550914800	192.168.0.0	1	99	
1550914860	192.168.0.0	1	36	
1550914920	192.168.0.0	1	73	
1550914980	192.168.0.0	1	55	
1550915040	192.168.0.0	1	32	
1550915100	192.168.0.0	1	41	
1550915160	192.168.0.0	1	3	
1550915220	192.168.0.0	1	48	
1550915280	192.168.0.0	1	8	
1550915340	192.168.0.0	1	21	
1550915400	192.168.0.0	1	87	
1550915460	192.168.0.0	1	19	
