TimeStamp	Ip Address	Core	CPU Usage
1550908860	192.168.0.43	1	9	
1550908920	192.168.0.43	1	70	
1550908980	192.168.0.43	1	36	
1550909040	192.168.0.43	1	77	
1550909100	192.168.0.43	1	55	
1550909160	192.168.0.43	1	80	
1550909220	192.168.0.43	1	36	
1550909280	192.168.0.43	1	88	
1550909340	192.168.0.43	1	4	
1550909400	192.168.0.43	1	20	
1550909460	192.168.0.43	1	24	
1550909520	192.168.0.43	1	31	
1550909580	192.168.0.43	1	8	
1550909640	192.168.0.43	1	83	
1550909700	192.168.0.43	1	33	
1550909760	192.168.0.43	1	94	
1550909820	192.168.0.43	1	88	
1550909880	192.168.0.43	1	57	
1550909940	192.168.0.43	1	71	
1550910000	192.168.0.43	1	64	
1550910060	192.168.0.43	1	35	
1550910120	192.168.0.43	1	82	
1550910180	192.168.0.43	1	21	
1550910240	192.168.0.43	1	76	
1550910300	192.168.0.43	1	78	
1550910360	192.168.0.43	1	43	
1550910420	192.168.0.43	1	44	
1550910480	192.168.0.43	1	40	
1550910540	192.168.0.43	1	90	
1550910600	192.168.0.43	1	43	
1550910660	192.168.0.43	1	71	
1550910720	192.168.0.43	1	6	
1550910780	192.168.0.43	1	22	
1550910840	192.168.0.43	1	3	
1550910900	192.168.0.43	1	54	
1550910960	192.168.0.43	1	24	
1550911020	192.168.0.43	1	13	
1550911080	192.168.0.43	1	27	
1550911140	192.168.0.43	1	89	
1550911200	192.168.0.43	1	14	
1550911260	192.168.0.43	1	10	
1550911320	192.168.0.43	1	70	
1550911380	192.168.0.43	1	17	
1550911440	192.168.0.43	1	37	
1550911500	192.168.0.43	1	35	
1550911560	192.168.0.43	1	71	
1550911620	192.168.0.43	1	76	
1550911680	192.168.0.43	1	45	
1550911740	192.168.0.43	1	80	
1550911800	192.168.0.43	1	52	
1550911860	192.168.0.43	1	42	
1550911920	192.168.0.43	1	47	
1550911980	192.168.0.43	1	81	
1550912040	192.168.0.43	1	3	
1550912100	192.168.0.43	1	12	
1550912160	192.168.0.43	1	63	
1550912220	192.168.0.43	1	88	
1550912280	192.168.0.43	1	37	
1550912340	192.168.0.43	1	9	
1550912400	192.168.0.43	1	36	
1550912460	192.168.0.43	1	43	
1550912520	192.168.0.43	1	86	
1550912580	192.168.0.43	1	48	
1550912640	192.168.0.43	1	83	
1550912700	192.168.0.43	1	3	
